id,entity_id,asset_id,severity,status,opened_at,closed_at,escalation_level,closure_reason
al-015782,ent-002,asset-00012,critical,closed,2026-06-29T22:26:48.939754,2026-06-30T11:26:48.939754,0,Remediated
al-015783,ent-003,asset-00020,medium,closed,2026-06-29T22:19:48.939754,2026-06-30T11:19:48.939754,1,Remediated
al-015784,ent-004,asset-00028,high,open,2026-06-29T22:12:48.939754,,1,
al-015785,ent-005,asset-00036,high,closed,2026-06-29T22:05:48.939754,2026-06-30T11:05:48.939754,1,Remediated
al-015786,ent-006,asset-00044,medium,closed,2026-06-29T21:58:48.939754,2026-06-30T10:58:48.939754,1,Remediated
al-015787,ent-007,asset-00052,high,closed,2026-06-29T21:51:48.939754,2026-06-30T10:51:48.939754,1,Remediated
al-015788,ent-008,asset-00060,high,open,2026-06-29T21:44:48.939754,,1,
al-015789,ent-009,asset-00068,medium,closed,2026-06-29T21:37:48.939754,2026-06-30T10:37:48.939754,1,Remediated
al-015790,ent-010,asset-00076,high,closed,2026-06-29T21:30:48.939754,2026-06-29T22:15:48.939754,0,Duplicate alert
al-015791,ent-011,asset-00084,high,closed,2026-06-29T21:23:48.939754,2026-06-30T10:23:48.939754,1,Remediated
al-015792,ent-012,asset-00093,medium,open,2026-06-29T21:16:48.939754,,1,
al-015793,ent-001,asset-00005,high,closed,2026-06-29T21:09:48.939754,2026-06-29T21:54:48.939754,0,Duplicate alert
al-015794,ent-002,asset-00013,high,closed,2026-06-29T21:02:48.939754,2026-06-30T10:02:48.939754,1,Remediated
al-015795,ent-003,asset-00021,critical,closed,2026-06-29T20:55:48.939754,2026-06-29T21:40:48.939754,0,Duplicate alert
al-015796,ent-004,asset-00029,high,open,2026-06-29T20:48:48.939754,,1,
al-015797,ent-005,asset-00037,high,closed,2026-06-29T20:41:48.939754,2026-06-30T09:41:48.939754,1,Remediated
al-015798,ent-006,asset-00045,medium,closed,2026-06-29T20:34:48.939754,2026-06-30T09:34:48.939754,1,Remediated
al-015799,ent-007,asset-00053,high,closed,2026-06-29T20:27:48.939754,2026-06-30T09:27:48.939754,1,Remediated
al-015800,ent-008,asset-00061,high,open,2026-06-29T20:20:48.939754,,1,
al-015801,ent-009,asset-00069,medium,closed,2026-06-29T20:13:48.939754,2026-06-30T09:13:48.939754,1,Remediated
al-015802,ent-010,asset-00077,high,closed,2026-06-29T20:06:48.939754,2026-06-30T09:06:48.939754,1,Remediated
al-015803,ent-011,asset-00085,high,closed,2026-06-29T19:59:48.939754,2026-06-30T08:59:48.939754,1,Remediated
al-015804,ent-012,asset-00094,medium,open,2026-06-29T19:52:48.939754,,1,
al-015805,ent-001,asset-00006,high,closed,2026-06-29T19:45:48.939754,2026-06-30T08:45:48.939754,1,Remediated
al-015806,ent-002,asset-00014,high,closed,2026-06-29T19:38:48.939754,2026-06-30T08:38:48.939754,1,Remediated
al-015807,ent-003,asset-00022,medium,closed,2026-06-29T19:31:48.939754,2026-06-30T08:31:48.939754,1,Remediated
al-015808,ent-004,asset-00030,critical,open,2026-06-29T19:24:48.939754,,0,
al-015809,ent-005,asset-00038,high,closed,2026-06-29T19:17:48.939754,2026-06-30T08:17:48.939754,1,Remediated
al-015810,ent-006,asset-00046,medium,closed,2026-06-29T19:10:48.939754,2026-06-29T19:55:48.939754,0,Duplicate alert
al-015811,ent-007,asset-00054,high,closed,2026-06-29T19:03:48.939754,2026-06-30T08:03:48.939754,1,Remediated
al-015812,ent-008,asset-00062,high,open,2026-06-29T18:56:48.939754,,1,
al-015813,ent-009,asset-00070,medium,closed,2026-06-29T18:49:48.939754,2026-06-30T07:49:48.939754,1,Remediated
al-015814,ent-010,asset-00078,high,closed,2026-06-29T18:42:48.939754,2026-06-30T07:42:48.939754,1,Remediated
al-015815,ent-011,asset-00086,high,closed,2026-06-29T18:35:48.939754,2026-06-30T07:35:48.939754,1,Remediated
al-015816,ent-012,asset-00095,medium,open,2026-06-29T18:28:48.939754,,1,
al-015817,ent-001,asset-00007,high,closed,2026-06-29T18:21:48.939754,2026-06-30T07:21:48.939754,1,Remediated
al-015818,ent-002,asset-00015,high,closed,2026-06-29T18:14:48.939754,2026-06-30T07:14:48.939754,1,Remediated
al-015819,ent-003,asset-00023,medium,closed,2026-06-29T18:07:48.939754,2026-06-30T07:07:48.939754,1,Remediated
al-015820,ent-004,asset-00031,high,open,2026-06-29T18:00:48.939754,,1,
al-015821,ent-005,asset-00039,critical,closed,2026-06-29T17:53:48.939754,2026-06-30T06:53:48.939754,0,Remediated
al-015822,ent-006,asset-00047,medium,closed,2026-06-29T17:46:48.939754,2026-06-30T06:46:48.939754,1,Remediated
al-015823,ent-007,asset-00055,high,closed,2026-06-29T17:39:48.939754,2026-06-30T06:39:48.939754,1,Remediated
al-015824,ent-008,asset-00063,high,open,2026-06-29T17:32:48.939754,,1,
al-015825,ent-009,asset-00071,medium,closed,2026-06-29T17:25:48.939754,2026-06-30T06:25:48.939754,1,Remediated
al-015826,ent-010,asset-00079,high,closed,2026-06-29T17:18:48.939754,2026-06-30T06:18:48.939754,1,Remediated
al-015827,ent-011,asset-00087,high,closed,2026-06-29T17:11:48.939754,2026-06-29T17:56:48.939754,0,Duplicate alert
al-015828,ent-012,asset-00096,medium,open,2026-06-29T17:04:48.939754,,1,
al-015829,ent-001,asset-00008,high,closed,2026-06-29T16:57:48.939754,2026-06-30T05:57:48.939754,1,Remediated
al-015830,ent-002,asset-00016,high,closed,2026-06-29T16:50:48.939754,2026-06-30T05:50:48.939754,1,Remediated
al-015831,ent-003,asset-00024,medium,closed,2026-06-29T16:43:48.939754,2026-06-30T05:43:48.939754,1,Remediated
al-015832,ent-004,asset-00032,high,open,2026-06-29T16:36:48.939754,,1,
al-015833,ent-005,asset-00040,high,closed,2026-06-29T16:29:48.939754,2026-06-30T05:29:48.939754,1,Remediated
al-015834,ent-006,asset-00048,critical,closed,2026-06-29T16:22:48.939754,2026-06-30T05:22:48.939754,0,Remediated
al-015835,ent-007,asset-00056,high,closed,2026-06-29T16:15:48.939754,2026-06-30T05:15:48.939754,1,Remediated
al-015836,ent-008,asset-00064,high,open,2026-06-29T16:08:48.939754,,1,
al-015837,ent-009,asset-00072,medium,closed,2026-06-29T16:01:48.939754,2026-06-30T05:01:48.939754,1,Remediated
al-015838,ent-010,asset-00080,high,closed,2026-06-29T15:54:48.939754,2026-06-30T04:54:48.939754,1,Remediated
al-015839,ent-011,asset-00088,high,closed,2026-06-29T15:47:48.939754,2026-06-30T04:47:48.939754,1,Remediated
al-015840,ent-012,asset-00089,medium,open,2026-06-29T15:40:48.939754,,1,
al-015841,ent-001,asset-00001,high,closed,2026-06-29T15:33:48.939754,2026-06-30T04:33:48.939754,1,Remediated
al-015842,ent-002,asset-00009,high,closed,2026-06-29T15:26:48.939754,2026-06-30T04:26:48.939754,1,Remediated
al-015843,ent-003,asset-00017,medium,closed,2026-06-29T15:19:48.939754,2026-06-30T04:19:48.939754,1,Remediated
al-015844,ent-004,asset-00025,high,open,2026-06-29T15:12:48.939754,,0,Duplicate alert
al-015845,ent-005,asset-00033,high,closed,2026-06-29T15:05:48.939754,2026-06-30T04:05:48.939754,1,Remediated
al-015846,ent-006,asset-00041,medium,closed,2026-06-29T14:58:48.939754,2026-06-30T03:58:48.939754,1,Remediated
al-015847,ent-007,asset-00049,critical,closed,2026-06-29T14:51:48.939754,2026-06-30T03:51:48.939754,0,Remediated
al-015848,ent-008,asset-00057,high,open,2026-06-29T14:44:48.939754,,1,
al-015849,ent-009,asset-00065,medium,closed,2026-06-29T14:37:48.939754,2026-06-30T03:37:48.939754,1,Remediated
al-015850,ent-010,asset-00073,high,closed,2026-06-29T14:30:48.939754,2026-06-29T15:15:48.939754,0,Duplicate alert
al-015851,ent-011,asset-00081,high,closed,2026-06-29T14:23:48.939754,2026-06-30T03:23:48.939754,1,Remediated
al-015852,ent-012,asset-00090,medium,open,2026-06-29T14:16:48.939754,,1,
al-015853,ent-001,asset-00002,high,closed,2026-06-29T14:09:48.939754,2026-06-30T03:09:48.939754,1,Remediated
al-015854,ent-002,asset-00010,high,closed,2026-06-29T14:02:48.939754,2026-06-30T03:02:48.939754,1,Remediated
al-015855,ent-003,asset-00018,medium,closed,2026-06-29T13:55:48.939754,2026-06-29T14:40:48.939754,0,Duplicate alert
al-015856,ent-004,asset-00026,high,open,2026-06-29T13:48:48.939754,,1,
al-015857,ent-005,asset-00034,high,closed,2026-06-29T13:41:48.939754,2026-06-30T02:41:48.939754,1,Remediated
al-015858,ent-006,asset-00042,medium,closed,2026-06-29T13:34:48.939754,2026-06-30T02:34:48.939754,1,Remediated
al-015859,ent-007,asset-00050,high,closed,2026-06-29T13:27:48.939754,2026-06-30T02:27:48.939754,1,Remediated
al-015860,ent-008,asset-00058,critical,open,2026-06-29T13:20:48.939754,,0,
al-015861,ent-009,asset-00066,medium,closed,2026-06-29T13:13:48.939754,2026-06-29T13:58:48.939754,0,Duplicate alert
al-015862,ent-010,asset-00074,high,closed,2026-06-29T13:06:48.939754,2026-06-30T02:06:48.939754,1,Remediated
al-015863,ent-011,asset-00082,high,closed,2026-06-29T12:59:48.939754,2026-06-30T01:59:48.939754,1,Remediated
al-015864,ent-012,asset-00091,medium,open,2026-06-29T12:52:48.939754,,1,
al-015865,ent-001,asset-00003,high,closed,2026-06-29T12:45:48.939754,2026-06-30T01:45:48.939754,1,Remediated
al-015866,ent-002,asset-00011,high,closed,2026-06-29T12:38:48.939754,2026-06-30T01:38:48.939754,1,Remediated
al-015867,ent-003,asset-00019,medium,closed,2026-06-29T12:31:48.939754,2026-06-30T01:31:48.939754,1,Remediated
al-015868,ent-004,asset-00027,high,open,2026-06-29T12:24:48.939754,,1,
al-015869,ent-005,asset-00035,high,closed,2026-06-29T12:17:48.939754,2026-06-30T01:17:48.939754,1,Remediated
al-015870,ent-006,asset-00043,medium,closed,2026-06-29T12:10:48.939754,2026-06-30T01:10:48.939754,1,Remediated
al-015871,ent-007,asset-00051,high,closed,2026-06-29T12:03:48.939754,2026-06-30T01:03:48.939754,1,Remediated
al-015872,ent-008,asset-00059,high,open,2026-06-29T11:56:48.939754,,1,
al-015873,ent-009,asset-00067,critical,closed,2026-06-29T11:49:48.939754,2026-06-30T00:49:48.939754,0,Remediated
al-015874,ent-010,asset-00075,high,closed,2026-06-29T11:42:48.939754,2026-06-30T00:42:48.939754,1,Remediated
al-015875,ent-011,asset-00083,high,closed,2026-06-29T11:35:48.939754,2026-06-30T00:35:48.939754,1,Remediated
al-015876,ent-012,asset-00092,medium,open,2026-06-29T11:28:48.939754,,1,
al-015877,ent-001,asset-00004,high,closed,2026-06-29T11:21:48.939754,2026-06-30T00:21:48.939754,1,Remediated
al-015878,ent-002,asset-00012,high,closed,2026-06-29T11:14:48.939754,2026-06-29T11:59:48.939754,0,Duplicate alert
al-015879,ent-003,asset-00020,medium,closed,2026-06-29T11:07:48.939754,2026-06-30T00:07:48.939754,1,Remediated
al-015880,ent-004,asset-00028,high,open,2026-06-29T11:00:48.939754,,1,
al-015881,ent-005,asset-00036,high,closed,2026-06-29T10:53:48.939754,2026-06-29T23:53:48.939754,1,Remediated
al-015882,ent-006,asset-00044,medium,closed,2026-06-29T10:46:48.939754,2026-06-29T23:46:48.939754,1,Remediated
al-015883,ent-007,asset-00052,high,closed,2026-06-29T10:39:48.939754,2026-06-29T23:39:48.939754,1,Remediated
al-015884,ent-008,asset-00060,high,open,2026-06-29T10:32:48.939754,,1,
al-015885,ent-009,asset-00068,medium,closed,2026-06-29T10:25:48.939754,2026-06-29T23:25:48.939754,1,Remediated
al-015886,ent-010,asset-00076,critical,closed,2026-06-29T10:18:48.939754,2026-06-29T23:18:48.939754,0,Remediated
al-015887,ent-011,asset-00084,high,closed,2026-06-29T10:11:48.939754,2026-06-29T23:11:48.939754,1,Remediated
al-015888,ent-012,asset-00093,medium,open,2026-06-29T10:04:48.939754,,1,
al-015889,ent-001,asset-00005,high,closed,2026-06-29T09:57:48.939754,2026-06-29T22:57:48.939754,1,Remediated
al-015890,ent-002,asset-00013,high,closed,2026-06-29T09:50:48.939754,2026-06-29T22:50:48.939754,1,Remediated
al-015891,ent-003,asset-00021,medium,closed,2026-06-29T09:43:48.939754,2026-06-29T22:43:48.939754,1,Remediated
al-015892,ent-004,asset-00029,high,open,2026-06-29T09:36:48.939754,,1,
al-015893,ent-005,asset-00037,high,closed,2026-06-29T09:29:48.939754,2026-06-29T22:29:48.939754,1,Remediated
al-015894,ent-006,asset-00045,medium,closed,2026-06-29T09:22:48.939754,2026-06-29T22:22:48.939754,1,Remediated
al-015895,ent-007,asset-00053,high,closed,2026-06-29T09:15:48.939754,2026-06-29T10:00:48.939754,0,Duplicate alert
al-015896,ent-008,asset-00061,high,open,2026-06-29T09:08:48.939754,,1,
al-015897,ent-009,asset-00069,medium,closed,2026-06-29T09:01:48.939754,2026-06-29T22:01:48.939754,1,Remediated
al-015898,ent-010,asset-00077,high,closed,2026-06-29T08:54:48.939754,2026-06-29T21:54:48.939754,1,Remediated
al-015899,ent-011,asset-00085,critical,closed,2026-06-29T08:47:48.939754,2026-06-29T21:47:48.939754,0,Remediated
al-015900,ent-012,asset-00094,medium,open,2026-06-29T08:40:48.939754,,1,
al-015901,ent-001,asset-00006,high,closed,2026-06-29T08:33:48.939754,2026-06-29T21:33:48.939754,1,Remediated
al-015902,ent-002,asset-00014,high,closed,2026-06-29T08:26:48.939754,2026-06-29T21:26:48.939754,1,Remediated
al-015903,ent-003,asset-00022,medium,closed,2026-06-29T08:19:48.939754,2026-06-29T21:19:48.939754,1,Remediated
al-015904,ent-004,asset-00030,high,open,2026-06-29T08:12:48.939754,,1,
al-015905,ent-005,asset-00038,high,closed,2026-06-29T08:05:48.939754,2026-06-29T21:05:48.939754,1,Remediated
al-015906,ent-006,asset-00046,medium,closed,2026-06-29T07:58:48.939754,2026-06-29T20:58:48.939754,1,Remediated
al-015907,ent-007,asset-00054,high,closed,2026-06-29T07:51:48.939754,2026-06-29T20:51:48.939754,1,Remediated
al-015908,ent-008,asset-00062,high,open,2026-06-29T07:44:48.939754,,1,
al-015909,ent-009,asset-00070,medium,closed,2026-06-29T07:37:48.939754,2026-06-29T20:37:48.939754,1,Remediated
al-015910,ent-010,asset-00078,high,closed,2026-06-29T07:30:48.939754,2026-06-29T08:15:48.939754,0,Duplicate alert
al-015911,ent-011,asset-00086,high,closed,2026-06-29T07:23:48.939754,2026-06-29T20:23:48.939754,1,Remediated
al-015912,ent-012,asset-00095,critical,open,2026-06-29T07:16:48.939754,,0,Duplicate alert
al-015913,ent-001,asset-00007,high,closed,2026-06-29T07:09:48.939754,2026-06-29T20:09:48.939754,1,Remediated
al-015914,ent-002,asset-00015,high,closed,2026-06-29T07:02:48.939754,2026-06-29T20:02:48.939754,1,Remediated
al-015915,ent-003,asset-00023,medium,closed,2026-06-29T06:55:48.939754,2026-06-29T07:40:48.939754,0,Duplicate alert
al-015916,ent-004,asset-00031,high,open,2026-06-29T06:48:48.939754,,1,
al-015917,ent-005,asset-00039,high,closed,2026-06-29T06:41:48.939754,2026-06-29T19:41:48.939754,1,Remediated
al-015918,ent-006,asset-00047,medium,closed,2026-06-29T06:34:48.939754,2026-06-29T19:34:48.939754,1,Remediated
al-015919,ent-007,asset-00055,high,closed,2026-06-29T06:27:48.939754,2026-06-29T19:27:48.939754,1,Remediated
al-015920,ent-008,asset-00063,high,open,2026-06-29T06:20:48.939754,,1,
al-015921,ent-009,asset-00071,medium,closed,2026-06-29T06:13:48.939754,2026-06-29T19:13:48.939754,1,Remediated
al-015922,ent-010,asset-00079,high,closed,2026-06-29T06:06:48.939754,2026-06-29T19:06:48.939754,1,Remediated
al-015923,ent-011,asset-00087,high,closed,2026-06-29T05:59:48.939754,2026-06-29T18:59:48.939754,1,Remediated
al-015924,ent-012,asset-00096,medium,open,2026-06-29T05:52:48.939754,,1,
al-015925,ent-001,asset-00008,critical,closed,2026-06-29T05:45:48.939754,2026-06-29T18:45:48.939754,0,Remediated
al-015926,ent-002,asset-00016,high,closed,2026-06-29T05:38:48.939754,2026-06-29T18:38:48.939754,1,Remediated
al-015927,ent-003,asset-00024,medium,closed,2026-06-29T05:31:48.939754,2026-06-29T18:31:48.939754,1,Remediated
al-015928,ent-004,asset-00032,high,open,2026-06-29T05:24:48.939754,,1,
al-015929,ent-005,asset-00040,high,closed,2026-06-29T05:17:48.939754,2026-06-29T06:02:48.939754,0,Duplicate alert
al-015930,ent-006,asset-00048,medium,closed,2026-06-29T05:10:48.939754,2026-06-29T18:10:48.939754,1,Remediated
al-015931,ent-007,asset-00056,high,closed,2026-06-29T05:03:48.939754,2026-06-29T18:03:48.939754,1,Remediated
al-015932,ent-008,asset-00064,high,open,2026-06-29T04:56:48.939754,,1,
al-015933,ent-009,asset-00072,medium,closed,2026-06-29T04:49:48.939754,2026-06-29T17:49:48.939754,1,Remediated
al-015934,ent-010,asset-00080,high,closed,2026-06-29T04:42:48.939754,2026-06-29T17:42:48.939754,1,Remediated
al-015935,ent-011,asset-00088,high,closed,2026-06-29T04:35:48.939754,2026-06-29T17:35:48.939754,1,Remediated
al-015936,ent-012,asset-00089,medium,open,2026-06-29T04:28:48.939754,,1,
al-015937,ent-001,asset-00001,high,closed,2026-06-29T04:21:48.939754,2026-06-29T17:21:48.939754,1,Remediated
al-015938,ent-002,asset-00009,critical,closed,2026-06-29T04:14:48.939754,2026-06-29T17:14:48.939754,0,Remediated
al-015939,ent-003,asset-00017,medium,closed,2026-06-29T04:07:48.939754,2026-06-29T17:07:48.939754,1,Remediated
al-015940,ent-004,asset-00025,high,open,2026-06-29T04:00:48.939754,,1,
al-015941,ent-005,asset-00033,high,closed,2026-06-29T03:53:48.939754,2026-06-29T16:53:48.939754,1,Remediated
al-015942,ent-006,asset-00041,medium,closed,2026-06-29T03:46:48.939754,2026-06-29T16:46:48.939754,1,Remediated
al-015943,ent-007,asset-00049,high,closed,2026-06-29T03:39:48.939754,2026-06-29T16:39:48.939754,1,Remediated
al-015944,ent-008,asset-00057,high,open,2026-06-29T03:32:48.939754,,1,
al-015945,ent-009,asset-00065,medium,closed,2026-06-29T03:25:48.939754,2026-06-29T16:25:48.939754,1,Remediated
al-015946,ent-010,asset-00073,high,closed,2026-06-29T03:18:48.939754,2026-06-29T04:03:48.939754,0,Duplicate alert
al-015947,ent-011,asset-00081,high,closed,2026-06-29T03:11:48.939754,2026-06-29T16:11:48.939754,1,Remediated
al-015948,ent-012,asset-00090,medium,open,2026-06-29T03:04:48.939754,,1,
al-015949,ent-001,asset-00002,high,closed,2026-06-29T02:57:48.939754,2026-06-29T15:57:48.939754,1,Remediated
al-015950,ent-002,asset-00010,high,closed,2026-06-29T02:50:48.939754,2026-06-29T15:50:48.939754,1,Remediated
al-015951,ent-003,asset-00018,critical,closed,2026-06-29T02:43:48.939754,2026-06-29T15:43:48.939754,0,Remediated
al-015952,ent-004,asset-00026,high,open,2026-06-29T02:36:48.939754,,1,
al-015953,ent-005,asset-00034,high,closed,2026-06-29T02:29:48.939754,2026-06-29T15:29:48.939754,1,Remediated
al-015954,ent-006,asset-00042,medium,closed,2026-06-29T02:22:48.939754,2026-06-29T15:22:48.939754,1,Remediated
al-015955,ent-007,asset-00050,high,closed,2026-06-29T02:15:48.939754,2026-06-29T15:15:48.939754,1,Remediated
al-015956,ent-008,asset-00058,high,open,2026-06-29T02:08:48.939754,,1,
al-015957,ent-009,asset-00066,medium,closed,2026-06-29T02:01:48.939754,2026-06-29T15:01:48.939754,1,Remediated
al-015958,ent-010,asset-00074,high,closed,2026-06-29T01:54:48.939754,2026-06-29T14:54:48.939754,1,Remediated
al-015959,ent-011,asset-00082,high,closed,2026-06-29T01:47:48.939754,2026-06-29T14:47:48.939754,1,Remediated
al-015960,ent-012,asset-00091,medium,open,2026-06-29T01:40:48.939754,,1,
al-015961,ent-001,asset-00003,high,closed,2026-06-29T01:33:48.939754,2026-06-29T14:33:48.939754,1,Remediated
al-015962,ent-002,asset-00011,high,closed,2026-06-29T01:26:48.939754,2026-06-29T14:26:48.939754,1,Remediated
al-015963,ent-003,asset-00019,medium,closed,2026-06-29T01:19:48.939754,2026-06-29T02:04:48.939754,0,Duplicate alert
al-015964,ent-004,asset-00027,critical,open,2026-06-29T01:12:48.939754,,0,
al-015965,ent-005,asset-00035,high,closed,2026-06-29T01:05:48.939754,2026-06-29T14:05:48.939754,1,Remediated
al-015966,ent-006,asset-00043,medium,closed,2026-06-29T00:58:48.939754,2026-06-29T13:58:48.939754,1,Remediated
al-015967,ent-007,asset-00051,high,closed,2026-06-29T00:51:48.939754,2026-06-29T13:51:48.939754,1,Remediated
al-015968,ent-008,asset-00059,high,open,2026-06-29T00:44:48.939754,,1,
al-015969,ent-009,asset-00067,medium,closed,2026-06-29T00:37:48.939754,2026-06-29T13:37:48.939754,1,Remediated
al-015970,ent-010,asset-00075,high,closed,2026-06-29T00:30:48.939754,2026-06-29T01:15:48.939754,0,Duplicate alert
al-015971,ent-011,asset-00083,high,closed,2026-06-29T00:23:48.939754,2026-06-29T13:23:48.939754,1,Remediated
al-015972,ent-012,asset-00092,medium,open,2026-06-29T00:16:48.939754,,1,
al-015973,ent-001,asset-00004,high,closed,2026-06-29T00:09:48.939754,2026-06-29T13:09:48.939754,1,Remediated
al-015974,ent-002,asset-00012,high,closed,2026-06-29T00:02:48.939754,2026-06-29T13:02:48.939754,1,Remediated
al-015975,ent-003,asset-00020,medium,closed,2026-06-28T23:55:48.939754,2026-06-29T00:40:48.939754,0,Duplicate alert
al-015976,ent-004,asset-00028,high,open,2026-06-28T23:48:48.939754,,1,
al-015977,ent-005,asset-00036,critical,closed,2026-06-28T23:41:48.939754,2026-06-29T12:41:48.939754,0,Remediated
al-015978,ent-006,asset-00044,medium,closed,2026-06-28T23:34:48.939754,2026-06-29T12:34:48.939754,1,Remediated
al-015979,ent-007,asset-00052,high,closed,2026-06-28T23:27:48.939754,2026-06-29T12:27:48.939754,1,Remediated
al-015980,ent-008,asset-00060,high,open,2026-06-28T23:20:48.939754,,0,Duplicate alert
al-015981,ent-009,asset-00068,medium,closed,2026-06-28T23:13:48.939754,2026-06-29T12:13:48.939754,1,Remediated
al-015982,ent-010,asset-00076,high,closed,2026-06-28T23:06:48.939754,2026-06-29T12:06:48.939754,1,Remediated
al-015983,ent-011,asset-00084,high,closed,2026-06-28T22:59:48.939754,2026-06-29T11:59:48.939754,1,Remediated
al-015984,ent-012,asset-00093,medium,open,2026-06-28T22:52:48.939754,,1,
al-015985,ent-001,asset-00005,high,closed,2026-06-28T22:45:48.939754,2026-06-29T11:45:48.939754,1,Remediated
al-015986,ent-002,asset-00013,high,closed,2026-06-28T22:38:48.939754,2026-06-29T11:38:48.939754,1,Remediated
al-015987,ent-003,asset-00021,medium,closed,2026-06-28T22:31:48.939754,2026-06-29T11:31:48.939754,1,Remediated
al-015988,ent-004,asset-00029,high,open,2026-06-28T22:24:48.939754,,1,
al-015989,ent-005,asset-00037,high,closed,2026-06-28T22:17:48.939754,2026-06-29T11:17:48.939754,1,Remediated
al-015990,ent-006,asset-00045,critical,closed,2026-06-28T22:10:48.939754,2026-06-29T11:10:48.939754,0,Remediated
al-015991,ent-007,asset-00053,high,closed,2026-06-28T22:03:48.939754,2026-06-29T11:03:48.939754,1,Remediated
al-015992,ent-008,asset-00061,high,open,2026-06-28T21:56:48.939754,,1,
al-015993,ent-009,asset-00069,medium,closed,2026-06-28T21:49:48.939754,2026-06-29T10:49:48.939754,1,Remediated
al-015994,ent-010,asset-00077,high,closed,2026-06-28T21:42:48.939754,2026-06-29T10:42:48.939754,1,Remediated
al-015995,ent-011,asset-00085,high,closed,2026-06-28T21:35:48.939754,2026-06-29T10:35:48.939754,1,Remediated
al-015996,ent-012,asset-00094,medium,open,2026-06-28T21:28:48.939754,,1,
al-015997,ent-001,asset-00006,high,closed,2026-06-28T21:21:48.939754,2026-06-28T22:06:48.939754,0,Duplicate alert
al-015998,ent-002,asset-00014,high,closed,2026-06-28T21:14:48.939754,2026-06-29T10:14:48.939754,1,Remediated
al-015999,ent-003,asset-00022,medium,closed,2026-06-28T21:07:48.939754,2026-06-29T10:07:48.939754,1,Remediated
al-016000,ent-004,asset-00030,high,open,2026-06-28T21:00:48.939754,,1,
al-016001,ent-005,asset-00038,high,closed,2026-06-28T20:53:48.939754,2026-06-29T09:53:48.939754,1,Remediated
al-016002,ent-006,asset-00046,medium,closed,2026-06-28T20:46:48.939754,2026-06-29T09:46:48.939754,1,Remediated
al-016003,ent-007,asset-00054,critical,closed,2026-06-28T20:39:48.939754,2026-06-29T09:39:48.939754,0,Remediated
al-016004,ent-008,asset-00062,high,open,2026-06-28T20:32:48.939754,,1,
al-016005,ent-009,asset-00070,medium,closed,2026-06-28T20:25:48.939754,2026-06-29T09:25:48.939754,1,Remediated
al-016006,ent-010,asset-00078,high,closed,2026-06-28T20:18:48.939754,2026-06-29T09:18:48.939754,1,Remediated
al-016007,ent-011,asset-00086,high,closed,2026-06-28T20:11:48.939754,2026-06-29T09:11:48.939754,1,Remediated
al-016008,ent-012,asset-00095,medium,open,2026-06-28T20:04:48.939754,,1,
al-016009,ent-001,asset-00007,high,closed,2026-06-28T19:57:48.939754,2026-06-29T08:57:48.939754,1,Remediated
al-016010,ent-002,asset-00015,high,closed,2026-06-28T19:50:48.939754,2026-06-29T08:50:48.939754,1,Remediated
al-016011,ent-003,asset-00023,medium,closed,2026-06-28T19:43:48.939754,2026-06-29T08:43:48.939754,1,Remediated
al-016012,ent-004,asset-00031,high,open,2026-06-28T19:36:48.939754,,1,
al-016013,ent-005,asset-00039,high,closed,2026-06-28T19:29:48.939754,2026-06-29T08:29:48.939754,1,Remediated
al-016014,ent-006,asset-00047,medium,closed,2026-06-28T19:22:48.939754,2026-06-28T20:07:48.939754,0,Duplicate alert
al-016015,ent-007,asset-00055,high,closed,2026-06-28T19:15:48.939754,2026-06-29T08:15:48.939754,1,Remediated
al-016016,ent-008,asset-00063,critical,open,2026-06-28T19:08:48.939754,,0,
al-016017,ent-009,asset-00071,medium,closed,2026-06-28T19:01:48.939754,2026-06-29T08:01:48.939754,1,Remediated
al-016018,ent-010,asset-00079,high,closed,2026-06-28T18:54:48.939754,2026-06-29T07:54:48.939754,1,Remediated
al-016019,ent-011,asset-00087,high,closed,2026-06-28T18:47:48.939754,2026-06-29T07:47:48.939754,1,Remediated
al-016020,ent-012,asset-00096,medium,open,2026-06-28T18:40:48.939754,,1,
al-016021,ent-001,asset-00008,high,closed,2026-06-28T18:33:48.939754,2026-06-29T07:33:48.939754,1,Remediated
al-016022,ent-002,asset-00016,high,closed,2026-06-28T18:26:48.939754,2026-06-29T07:26:48.939754,1,Remediated
al-016023,ent-003,asset-00024,medium,closed,2026-06-28T18:19:48.939754,2026-06-29T07:19:48.939754,1,Remediated
al-016024,ent-004,asset-00032,high,open,2026-06-28T18:12:48.939754,,1,
al-016025,ent-005,asset-00040,high,closed,2026-06-28T18:05:48.939754,2026-06-29T07:05:48.939754,1,Remediated
al-016026,ent-006,asset-00048,medium,closed,2026-06-28T17:58:48.939754,2026-06-29T06:58:48.939754,1,Remediated
al-016027,ent-007,asset-00056,high,closed,2026-06-28T17:51:48.939754,2026-06-29T06:51:48.939754,1,Remediated
al-016028,ent-008,asset-00064,high,open,2026-06-28T17:44:48.939754,,1,
al-016029,ent-009,asset-00072,critical,closed,2026-06-28T17:37:48.939754,2026-06-29T06:37:48.939754,0,Remediated
al-016030,ent-010,asset-00080,high,closed,2026-06-28T17:30:48.939754,2026-06-28T18:15:48.939754,0,Duplicate alert
al-016031,ent-011,asset-00088,high,closed,2026-06-28T17:23:48.939754,2026-06-28T18:08:48.939754,0,Duplicate alert
